"
בלובירד
",ג’נבייב גרהאם,98.00 ₪,88.20 ₪,"
44.90 ₪
","<span class=""price"">0.00 ₪</span>","<span class=""price"">44.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
יום אחד הוא פשוט מופיע במקום העבודה שלה. גבר יפה, מלוכלך ומאובק, מחזיק חבילה בידו. קייסי פותחת את הצרור כמעט בחוסר עניין, ונדהמת. כאוצרת במוזיאון, היא בקושי מצליחה להסתיר את התרגשותה. הגבר היפה הביא איתו אוצר: בקבוק ויסקי עתיק ונדיר, שמצא טמון בקיר הבית שהוא משפץ. 

1918.
המלחמה הגדולה עדיין מתחוללת. אדל סוואר, אחות צעירה בבית חולים שדה בבלגיה, מטפלת בעדינות אין קץ בג’רי, החולה המיוחד שלה. משהו בו מרגש אותה. האם זאת העובדה שגילתה שאי אז, בקנדה הרחוקה, הם היו כמעט שכנים? לחרדתה, ג’רי הולך ונרפא ובעוד רגע ישוב לחזית. ואז? מה יהיה אז?

שנים יחלפו עד שהקצוות הפרומים ישובו ויתחברו, עד שג’רי ואדל ייפגשו שוב, באקראי, והפעם הוא יהיה זה שיציל אותה. תקופה ארוכה תחלוף גם עד שקייסי והגבר עם בקבוק הוויסקי יגלו מה קרה בבית ההוא, לפני מאה שנים, וכיצד הם קשורים לסיפור האהבה של האחות והפצוע שטיפלה בו.
”בלובירד” הוא ספר שכולו סודות, חלקם עתיקים, חבויים עשרות שנים בתוך קירות בית נטוש, וחלקם אינם מדוברים, גם בין אוהבים. על כולם מרחפים מוראות המלחמה, לצד הרצון הטבעי, הפשוט כל כך, לשוב ולחיות. 

בלובירד הוא ספרה העשירי של ג’נבייב גרהאם, שהיה לרב מכר בינלאומי מיד עם צאתו לאור.
"
"
הרוזנת מטוסקנה
",דיינה ג’פריס,0.00 ₪,98.00 ₪,Not Available,0.00 ₪,48.00 ₪,Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
טוסקנה, 1943. 
באחוזה המפוארת של הרוזנת סופיה דה קורסי, השקט בין עצי הזית מופר בגסות עם הופעתם של החיילים הנאצים. הטירה העתיקה מימי הביניים, השוכנת בלב האזור הכפרי הפורח של טוסקנה, כבר אינה מקלט בטוח. כשאל ביתה של סופיה נקלע פצוע בריטי, היא מחליטה להסתיר אותו ולפעול ככל יכולתה כדי להגן על תושבי הכפר מפני התנכלויות החיילים הגרמנים. את מעורבותה היא מקפידה לשמור בסוד מפני בעלה האהוב לורנצו, החרד לשלומה, שגם לו יש סודות משלו.
כשמקסין, עיתונאית איטלקייה-אמריקאית צעירה ואמיצה, מגיעה לאיטליה כדי לחבור לפרטיזנים ולדווח לבעלות הברית מהשטח, היא מושכת את סופיה לליבת ההתנגדות לנאצים. מקסין, הנחושה להקדיש את חייה למאבק, הבטיחה לעצמה לא להתאהב לעולם. אבל כשהיא פוגשת במרקו, פרטיזן בעל עור זית ותועפות של קסם אישי, היא מבינה שזאת הבטחה שלא תוכל לקיים.
גורלותיהן של שתי הנשים נשזרים זה בזה, והן מוצאות את עצמן לכודות במשחק מסוכן שיאלץ אותן לפעול בכל אמצעי שעומד לרשותן כדי להציל את עצמן ואת אהוביהן.
דיינה ג’פריס מחברת רומנים היסטוריים המבוססים כולם על תחקירי שטח מעמיקים. היא התגוררה בעבר בטוסקנה, כשעבדה כאומנת בביתה של רוזנת איטלקייה, אך החלה לכתוב דווקא בספרד בשעה ששהתה בכפר ציורי מרושת סמטאות קטנטנות מהמאה ה-16. ספריה הקודמים, בהם אשתו של מגדל התה, בתו של סוחר המשי וסודה של אלמנת הספירים, היו לרבי-מכר בישראל ובכל רחבי העולם. 

”ג’פריס מוכיחה שוב את היכולת הייחודית שלה לטוות יחד סיפורי דמויות וחוטי עלילה לכלל סיפור מותח הנקרא בשקיקה.” – פבלישרס ויקלי
”לדיינה ג’פריס יש כישרון מופלא להפיח חיים בתקופה ובמקום אחרים, באמצעות תיאורים עשירים ובתנופה ובעוצמה רבות.” – קייט פרניבל
"
"
המדריך לשמחת חיים
",יאנה דרום,98.00 ₪,59.00 ₪,Not Available,39.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 פסיכולוגיה מודעות ועזרה עצמית 
","
 תת תחום: 
 פסיכולוגיה מודעות ועזרה עצמית 
","
”שתישרף הדיאטה, נאכל גם קינוח.”
”לעזאזל המינוס, נזמין לנו חופשה.”
כולנו רוצים להיות קצת יותר קלילים,
זורמים, כאלה שנראים תמיד מבסוטים.
אנחנו רוצים לחיות באמונה שהכול יסתדר.
קטע רוחני? אולי, ואולי אנחנו פשוט רוצים
להיות שמחים יותר.
הרי קראנו את הספרים, נרשמנו לאתגרים
והאזנו לפודקאסטים.
ועדיין ביומיום, בשגרה, בין מיליון המשימות
של הבית, תחזוקת הזוגיות, הילדים, הודעות
הוואטסאפ הבלתי נגמרות, אנחנו לא שם.
למה?
כי שכחנו שהשמחה לא נמצאת רק
בחופשה אינסטגרמית, בבונוס במשכורת
או בארוחה במסעדת יוקרה. היא נמצאת
גם ובעיקר בדברים הקטנים והיומיומיים,
אלה שאנחנו לוקחים כמובנים מאליהם.
היא נמצאת בפסטה בולונז שיצאה טעימה
במיוחד, בקפה עם זוג חברים, במילה טובה
של קולגה, בחייל שחוזר הביתה, בנשיקה
עם בן או בת הזוג מזה שמונת אלפים שנה,
בריח של ים, בשיר טוב, ברמזורים ירוקים
כל הדרך הביתה ובילד שאומר ”אני אוהב
אותך!”.
במדריך לשמחת חיים נלמד איך להכניס
את השמחה לסלון, למשרד, לזוגיות,
להורות ובעיקר למערכת היחסים הכי
חשובה שיש לנו – מערכת היחסים עם
עצמנו. כשהקסם יקרה, יש מצב שתחוו
תופעות לוואי כמו ספונטניות, אהבה
עצמית, שינוי בסגנון הלבוש, העלאה
במשכורת, גילויי חיבה עוצמתיים וקמטים
באזור העיניים כתוצאה משמחה מוגזמת
בקטע טוב.
"
"
הקיסר חלק ב
",עדן בל,98.00 ₪,59.90 ₪,Not Available,35.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי/ היסטורי 
","
טרופים: גבר אלפא, גיבורה נועזת, יחסים אסורים, הבדלי מעמדות, רומן היסטורי

”הם לקחו ממני הכול וכעת לא נשאר לי עוד מה להפסיד.”

טליה

בגיל תשע עשרה משפחתי נרצחה במלחמה עקובה מדם. אדמתי נכבשה על ידי פולשים שלקחו אותי בשבי. נמכרתי כשפחה לאיש זקן ונאלצתי לטפל בו בעל כורחי, עד שלילה אחד גבר מהמעמד העליון דפק על הדלת ופלש לביתנו בלי רשות, כאילו המקום שייך לו. 
הוא היה יהיר וכריזמטי בצורה יוצאת דופן, סמל סטטוס לכל מה ששנאתי בעולם הזה, ומזכרת מהלכת לרצח משפחתי. תיעבתי אותו, תיעבתי את הכוח שהיה לו עליי ובעיקר תיעבתי את החום שהסתחרר בבטני בכל פעם שהביט בי. 

לוקאס

אף אחד לא העז להרים את מבטו מהרצפה ולהביט בעיניי, והיא? היא כעסה עליי, סירבה לי וגם תקפה אותי, אמיצה כמו לגיון שלם. עצם הקרבה שלי אליה סיכנה אותה, אבל לא התכוונתי לשחרר אותה לעולם, לא מרגע שפתחה את הפה העוקצני שלה. 
היא הייתה שינוי פראי ומרענן במקום הקר והנוקשה שבו גדלתי. לא היה לי ספק שאוכל לשלוט בה ולשבור את רוח הלחימה שלה, אבל לא חפצתי בזה. היא תיכנע לי מרצון.

הקיסר חלק א מאת סופרת רבי המכר עדן בל הוא רומן היסטורי על תקופה מרתקת ובה מלכים, בני אצולה, שפחות ועבדים. הרומן מגולל את סיפורם של שני אנשים ממעמדות ורקעים שונים המוצאים זה את זה, נלחמים זה בזה ובתשוקה הבוערת ביניהם. 
ספרים נוספים מאת הסופרת; טרילוגיית החטאים. הספרים כיכבו בכל רשימות רבי המכר בארץ וזכו להצלחה רבה.
"
"
הבחורה מקו 88
",פריה סמפסון,98.00 ₪,78.40 ₪,"
73.50 ₪
","<span class=""price"">44.00 ₪</span>","<span class=""price"">28.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
פרייה סמפסון היא מחברת ”הספרייה האחרונה” שנמכר כאן יפה, אבל הספר הזה הוא, בעיני, פריצת הדרך שלה והמכירות הצפויות יהיו גבוהות יותר. 
זהו סיפור החמצה של אהבת נעורים. גבר צעיר פוגש בחורה באוטובוס, היא מוסרת לו את מספרה ואז הוא מאבד אותו, אבל לא את התקווה, ובמשך שנים ארוכות הוא ממשיך לנסוע על אותו קו, בתקווה שיום אחד היא תעלה. אשה צעירה פוגשת את הגבר שלנו באוטובוס (הוא כבר אדם מבוגר) והוא מספר לה את סיפורו. האם יצליחו לאתר יחד את אהבת נעוריו? והאם יש לכך משמעות בכלל אחרי שנים ארוכות כל כך?
יופי של ספר בז’אנר הספרים המנחמים. בדיוק מתאים לעכשיו.
"
"
כראמל 8 גברת בלום שולטת
",מאירה ברנע גולדברג,0.00 ₪,84.00 ₪,Not Available,0.00 ₪,42.00 ₪,Not Available,"
 תחום: 
 נוער צעיר 
","
 תת תחום: 
 נוער צעיר 
","
גברת בלום קרובה להיות השליטה היחידה על הטירה של ארתור ג’רום, על המפעלים ועל החתול המופלא כפי שתמיד רצתה – והשלטון כל כך הולם אותה! אלא שלפתע מופיעה בטירה גברת בלום נוספת – וגם היא מרושעת ושתלטנית... ספר חדש ומסעיר בסדרה האהובה שגרמה לאלפי ילדים להישאר ערים בלילה ולהתאהב מחדש בקריאה.
"
"
הלייף סטייל
",טיילור האן,98.00 ₪,88.20 ₪,"
44.90 ₪
","<span class=""price"">0.00 ₪</span>","<span class=""price"">44.00 ₪</span>",Not Available,"
 תחום: 
 סיפורת 
","
 תת תחום: 
 סיפורת תרגום 
","
רומן מחמם לב ומצחיק על סווינגרס, נישואים ומורכבות הלב.
לג’ורג’ינה ואגמן יש נישואים נהדרים, עבודה נהדרת במשרד עורכי דין יוקרתי וחברים נהדרים. אם תשאלו אותה, היא גם יודעת לתת עצות נהדרות. החיים שלה הם בדיוק כפי שתכננה אותם - מושלמים.
או כמעט מושלמים.
כי יום אחד היא נכנסת למשרדו של בעלה נייתן ומוצאת אותו בסיטואציה שאינה משתמעת לשתי פנים עם מתמחה זוטרה. 
אחרי רגע קצר של משבר, ג’ורג’ינה מתעשתת. גירושים לא היו חלק מהתוכנית ארוכת הטווח שלה. כדי להציל את נישואיה היא מוצאת את הפתרון האולטימטיבי להצתה מחודשת של התשוקה והרומנטיקה – מועדון סווינגרים! 
אבל ג’ורג’ינה לא מתכוונת לצאת להרפתקה הזאת לבדה. היא אוספת סביבה את חבריה הקרובים, משוכנעת שתצליח לתקן גם אצלם, ולא רק אצל בעלה, כל פנייה לא נכונה שלקחו בחיים. 
נדמה שהתוכנית שלה חסינת תקלות, עד שבמסיבת הסווינגרים הראשונה היא נתקלת באקס המיתולוגי שלה מהקולג’, ומתחילה לתהות אם דווקא היא זאת שלקחה את הפנייה הלא נכונה.
"
"
נישואים בהזמנה
",אלה מייז,0.00 ₪,98.00 ₪,Not Available,0.00 ₪,37.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
ג’ק ואני עשינו הכול הפוך.
ביום שבו הוא משך אותי למשרדו, שהיה גם היום שבו נפגשנו בפעם הראשונה, הוא הציע לי נישואים.
אפשר לצפות שבחור שנראה כמוהו – אולי קצת קר, אבל עדיין מרשים מאוד ובלתי מושג, יציע נישואים רק לאהבת חייו, נכון? אפשר לצפות שהוא יציע נישואים כי הוא מאוהב עד טירוף. אבל לא.
ההצעה הייתה מכוונת אליי.
אישה לגמרי זרה שמעולם לא שמעה עליו.
אישה לגמרי זרה, שנזרקה על ידי הארוס שלה רק שבועות ספורים קודם לכן.
הייתם מצפים שאצחק לו בפרצוף, שאכנה אותו משוגע, ועוד כמה כינויים, ואסתלק משם במהירות האפשרית. טוב... עשיתי את כל הדברים האלה, חוץ מהחלק של להסתלק משם. נדרשו לו רק דקות בודדות לשכנע אותי לעשות איתו עסקה... אממ, כלומר עסקת נישואים, ורק ימים בודדים להתחתן איתי רשמית.
היום המאושר בחיי. קסום. מרגש. ריקודים עד אור הבוקר ... פחות.
זה היה היום הגרוע בחיי.
ג’ק האתורן היה ההפך הגמור מגבר חלומותיי. האשמתי אותו בַּטעות שעשיתי בשיקול הדעת. האשמתי את העיניים שלו, את עיני התכלת העמוקות שהביטו ישר בעיניי בלי בושה, ובזעף הזה בפניו שלא ידעתי שירתק אותי כל־כך עם הזמן. הוא אמר שאני הטעות הכי גדולה שעשה בחייו, אבל זמן קצר לאחר מכן הדברים התחילו להשתנות.
לא, הוא עדיין לא דיבר הרבה, אבל כל אחד יכול לשזור כמה מילים למשפט. המעשים שלו דיברו אליי בקול תרועה, ויום אחר יום, הלב שלי התחיל לקבל רצון משלו.
רגע אחד הוא היה אף אחד, ברגע הבא הוא נעשה הכול.
רגע אחד הוא היה בלתי מושג, ברגע הבא היה נדמה שהוא לחלוטין שלי.
רגע אחד חשבתי שאנחנו מאוהבים, ברגע הבא הכול היה עדיין רק שקר גדול.
אחרי הכול, הייתי רוז והוא היה ג’ק. עם השמות האלה, גורלנו נחרץ ממש מההתחלה. אפשר היה לצפות למשהו אחר?
"
"
בליבה של עזה
",תומר צבן,0.00 ₪,98.00 ₪,Not Available,0.00 ₪,49.00 ₪,Not Available,"
 תחום: 
 צבא מלחמה ונשק 
","
 תת תחום: 
 צבא מלחמה ונשק 
","
אני נעמד במרכז, תופס את הסולם, מניף אותו, ומניח בזהירות את קצהו השני על אדן המרפסת של הקומה הראשונה. לפתע אני מבחין שהסולם נשען גם על כבלי חשמל חשופים שמתוחים בצמוד למרפסת. ניצוצות של קצרים חשמליים מופיעים ומפעילים אצלי את מנגנון הפחד המשתק. חמשת חברי הצוות ששוכבים עדיין על גג המשאית מחכים שאחצה למרפסת ממול, אבל אני לא מצליח להזיז את הרגליים. הראש לא מצליח לשדר את הפקודה לרגליים לנוע. משהו בתוכי אומר לי שאם אגע בסולם, אתחשמל למוות. יש לנו שניות ספורות לבצע את השלב הזה במשימה, לחצות את המרחק ולהיכנס אל הבניין, ואני, באופן הכי מילולי, פשוט לא מצליח לזוז. 
תומר צבן שירת כמסתערב ביחידת שמשון בתחילת שנות התשעים. בגלבייה לבנה ובשפם, וגם באין־ספור תחפושות הסוואה אחרות, למד להיטמע באוכלוסייה המקומית ברצועת עזה ולהכיר את התושבים שם, לטוב ולרע. 
בליבה של עזה מביא את סיפורי המבצעים שבהם השתתף צבן, וחושף, לצד מעשי גבורה נועזים ומסמרי שיער, גם רגעים אנושיים ונוגעים ללב, המדגישים את הפער הבלתי נתפס בין ההצלחות בשטח — לשריטות הנותרות בנפש לעד. צבן מספק לנו הצצה נדירה לעולם המבצעים המסוערבים, הנעשים בשקט, הרחק מאור הזרקורים, אך בזכותם יכולים תושבי ישראל לקיים יום יום את שגרת חייהם באין מפריע.
זהו ספרו השני של צבן, והוא המשך לעלילותיו מספרו הראשון,
עמוק בעזה, שיצא גם הוא בהוצאת כנרת־זמורה, והיה
לרב־מכר מיידי.
"
"
המסדר
",דניאל סילבה,98.00 ₪,78.40 ₪,"
73.50 ₪
","<span class=""price"">49.00 ₪</span>","<span class=""price"">28.00 ₪</span>",Not Available,"
 תחום: 
 מתח 
","
 תת תחום: 
 מתח 
","
גבריאל אלון חמק בשקט לוונציה עם אשתו ושני ילדיו, לחופשה שנזקק לה כבר מזמן. אך כאשר האפיפיור פאולוס השביעי מת בפתאומיות מהתקף לב, גבריאל נקרא לוותיקן אל מזכירו האישי, שיש לו יש שתי סיבות טובות לחשוד שאדונו נרצח: היעלמותו של חייל המשמר השוויצרי בליל מותו; והיעלמותו של המכתב שכתב האפיפיור בשעות חייו האחרונות. 
אט־אט סנטה הלנה, ארגון קתולי אפל עם קשרים לימין הקיצוני האירופי, זומם להשתלט על האפיפיורות, ולא יבחל באמצעים להרחיק את העדויות מפני גבריאל.
בזמן שהקרדינלים מתכנסים ברומא לבחירת אפיפיור חדש, גבריאל יוצא לחיפוש נואש אחר הוכחות למזימה של המסדר. 
דניאל סילבה הוא המחבר עטור הפרסים של רבי־מכר עולמיים רבים, שתורגמו ליותר משלושים שפות. נודע בסדרת המותחנים ארוכת־השנים שלו בכיכובו של המרגל ומשחזר האמנות גבריאל אלון. הוא חבר במועצה להנצחת השואה של ארצות הברית. 
”דבר אחד ברור - אם אתם לא קוראים את דניאל סילבה, אתם מחמיצים את אחד הסופרים הגדולים והפוריים ביותר שהז’אנר ידע אי־פעם.”
ריל בּוּק ספַּיי
”מעלה את הדופק... סילבה אלוף בטוויית עלילות על ריגול בינלאומי והתנקשויות. קשה שלא להשתאות מהידע המופלא שלו בדבר אירועים חסויים המתקיימים בימינו, ומדרכו לחזות את אירועי המחר.” טיימס ישראל
"
"
להתאהב ולהישאר בחיים
",שרון צוהר,98.00 ₪,59.90 ₪,Not Available,35.00 ₪,28.00 ₪,Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
”אלמוג, חשוב לי שתדע לפני שאני נכנסת למכונית שלך שזה סטוץ בלבד, בסדר? לילה אחד וזהו. ואני לא נשארת לישון אצלך.”
לרגע הוא מעפעף, ואז להפתעתי הוא מתחיל לצחוק. ”רותי, נראה לי שהתאהבתי בך הרגע. תיכנסי למכונית.”

רותי פרידמן
לא חיפשתי את האביר על הסוס הלבן, לא חיפשתי את הגבר שישנה את כל עולמי. ריבאונד, זה כל מה שזה היה אמור להיות, מישהו שיעזור לי לשכוח, להתקדם הלאה. ואז פגשתי את אלמוג אלבז וכל התוכניות השתנו. חשבתי שאנחנו פועלים לפי חוקים מסוימים, ברורים מאוד, אבל נראה שאלמוג פועל לפי סט חוקים משלו.

אלמוג אלבז
כמה אירוני זה לפגוש את אשת חלומותיך בחתונה, ללכת איתה הביתה ולגלות שזו אחותו הקטנה של החבר הכי טוב שלך?
לילה אחד, זה היה הדיל. אף אחת מעולם לא קיבלה יותר מזה, עד שהיא הגיעה. עמדתי מהצד וראיתי את החברים שלי נופלים בזה אחר זה, הבטחתי לעצמי שלעולם לא אאפשר לזה לקרות גם לי, ואז רותי התרסקה לתוך החיים שלי כמו מטאור ואפילו לא ראיתי את זה בא. 

להתאהב ולהישאר בחיים מאת סופרת רבי המכר שרון צוהר הוא סיפור נוסף בסדרת כשהגלים מתחזקים, סיפור אהבה מעולם הצבא ושייטת 13. הספרים שקדמו לו בסדרה: כשהגלים מתחזקים ודואט חמש אצבעות על היעד.
"
"
מזייפים בהוליווד
",אווה ויילדר,108.00 ₪,97.20 ₪,"
39.90 ₪
","<span class=""price"">37.00 ₪</span>","<span class=""price"">28.00 ₪</span>",Not Available,"
 תחום: 
 ספרות רומנטית 
","
 תת תחום: 
 רומנטי 
","
כוכבת הוליוודית מוכשרת וכוכב על מתבודד נכנסים למערכת יחסים מזויפת... ומגלים שהרגשות שלהם עשויים להיות יותר מאשר תעלול יחסי ציבור בהופעת הבכורה הסקסית. 

גריי ברוקס במשימה לשמור על הקריירה שלה מעל המים. עכשיו, כשסיומה של סדרת הנוער ארוכת השנים בכיכובה מאלצת אותה לשוב ולחפש עבודה, המשימה קשה יותר מכפי שהיא ציפתה. אך כשתפקיד משנה חיים על הפרק, היא נואשת מספיק כדי להסכים למזימה של היחצ”נית שלה — לזייף רומן עם כובש לבבות הוליוודי שזקוק לפרסום, אבל מסיבות שונות מאוד.

איתן אטקינס רק רוצה שיניחו לו לנפשו. בין גירושיו המתוקשרים, מאבקיו בהתמכרות לאלכוהול, וצערו הכבד על מות שותפו הוותיק ליצירה וחברו הטוב ביותר, הוא מאפשר לעצמו לדעוך ולהיעלם ברקע. עם זאת, איתן מבין שאם אי פעם ירצה להפיק את הסרט האחרון שהוא והשותף שלו כתבו יחד, הוא יהיה חייב לתקן את המוניטין שלו ולחזור לאור הזרקורים. רומן מתוקשר עם שחקנית מהממת נראה כמו הפתרון למצבו, גם אם זה הדבר האחרון שהוא רוצה לעשות.

אף על פי שמערכת היחסים שהם מציגים לעולם היא פחות מושלמת מאחורי הקלעים, לא עובר זמן רב עד שהכימיה הלוהטת ביניהם הופכת ליותר מסתם הצגה למצלמות. 
אבל אחרי עשרות שנים בתעשייה חסרת רחמים שדורשת חוסן נפשי כדי לשרוד — האם הם רגילים להעמדות הפנים מכדי להיפתח לדבר האמיתי?

מזייפים בהוליווד הוא הפייק דייטינג המושלם!
רומן רומנטי מתוק ומרגש על כוכב הוליוודי, אב חד־הורי וכוכבת עולה בעולם הזוהר שלא תמיד נוצץ.
תתכוננו להתאהב!
"
